CHARACTER,CARD NUMBER,POWER,HEALTH,STRIKE ATTACK,STRIKE DEFENCE,BLAST ATTACK,BLAST DEFENCE
SUPER SAIYAN GOD SS VEGITO,DBL24-01S,9.97K,24.62K,2.67K,1.55K,2.5K,1.55K
FUSION ZAMASU,DBL24-08S,9.76K,24.87K,2.35K,1.56K,2.59K,1.55K
SUPER FULL POWER SAIYAN 4 GOKU,DBL24-03S,9.75K,23.25K,2.41K,1.6K,2.55K,1.6K
OMEGA SHENRON,DBL24-09S,9.72K,24.5K,2.47K,1.55K,2.44K,1.58K
SUPER SAIYAN TRUNKS (ADULT) (RAGE),DBL24-05S,9.68K,25.26K,2.18K,1.66K,2.48K,1.62K
SUPER SAIYAN 3 GOKU,DBL17-05S,9.65K,22.44K,2.34K,1.56K,2.63K,1.56K
FULL POWER BOUJACK,DBL17-03S,9.58K,24.12K,2.56K,1.51K,2.34K,1.51K
SYN SHENRON,DBL21-01S,9.58K,24.12K,2.36K,1.6K,2.35K,1.62K
SUPER SAIYAN 2 KEFLA,DBL23-05S,9.55K,22.9K,2.67K,1.48K,2.36K,1.45K
BROLY: CHEELAI (ASSIST),DBL22-09S,9.55K,24.61K,2.44K,1.5K,2.39K,1.52K
SUPER SAIYAN GOD SS VEGETA,DBL18-05S,9.52K,23.88K,2.44K,1.54K,2.34K,1.55K
GOKU,DBL16-01S,9.51K,24.37K,2.32K,1.57K,2.36K,1.58K
FUSION ANDROID #13,DBL16-02S,9.46K,23.12K,2.43K,1.58K,2.29K,1.55K
SUPER SAIYAN 2 GOHAN (YOUTH),DBL10-06S,9.45K,23.19K,2.32K,1.52K,2.51K,1.5K
SUPER SAIYAN TRUNKS (TEEN),DBL23-01S,9.44K,22.67K,2.52K,1.57K,2.2K,1.58K
VEGITO,DBL22-08S,9.44K,23.13K,2.36K,1.49K,2.52K,1.47K
SUPER GOGETA,DBL20-01S,9.42K,23.12K,2.35K,1.53K,2.45K,1.49K
SUPER SAIYAN ROSÉ GOKU BLACK,DBL18-06S,9.41K,24.49K,2.41K,1.47K,2.37K,1.48K
SUPER SAIYAN 4 VEGETA,DBL19-07S,9.41K,21.89K,2.27K,1.55K,2.56K,1.52K
BARDOCK,DBL19-01S,9.4K,24.73K,2.36K,1.5K,2.36K,1.48K
FINAL FORM FRIEZA: FULL POWER,DBL15-06S,9.39K,24.01K,2.26K,1.57K,2.28K,1.62K
GOKU,DBL16-10S,9.39K,24.25K,2.36K,1.57K,2.19K,1.6K
SUPER SAIYAN GOTEN (KID),DBL12-06S,9.36K,23.13K,2.33K,1.46K,2.48K,1.5K
SUPER JANEMBA,DBL20-02S,9.35K,23.46K,2.42K,1.58K,2.14K,1.59K
BUU: SUPER,DBL11-09S,9.34K,21.47K,2.47K,1.46K,2.51K,1.42K
SUPER SAIYAN GOHAN (TEEN),DBL12-05S,9.33K,23.89K,2.33K,1.56K,2.19K,1.61K
SUPER SAIYAN GOTENKS,DBL23-04S,9.32K,22.44K,2.38K,1.59K,2.28K,1.52K
BARDOCK,DBL22-02S,9.31K,24.38K,2.37K,1.48K,2.3K,1.48K
